D: 0.026109026510045763, R: [[0.9990536264091424, 0.04349541997431439, 0.0], [-0.04349541997431439, 0.9990536264091424, 0.0], [0.0, 0.0, 1.0]], t: [0.043012375553797444, -0.05713717158598475, -0.15096811108291142], theta_Rho: [[0.7963768839836121, 3.930614709854126]], theta_Rho_prime: [[0.8342011570930481, 3.9380810260772705]]
D: 0.03818564662725632, R: [[0.998509980098755, 0.05456940207830868, 0.0], [-0.05456940207830857, 0.9985099800987551, 0.0], [0.0, 0.0, 1.0]], t: [0.08681353076901255, -0.08530944645122962, -0.17756375700235383], theta_Rho: [[0.7837677597999573, 3.888803243637085]], theta_Rho_prime: [[0.8319276571273804, 3.906486749649048]]
D: 0.01926077066471843, R: [[0.9999790918297145, 0.0064665217404325515, 0.0], [-0.0064665217404325515, 0.9999790918297145, 0.0], [0.0, 0.0, 1.0]], t: [0.30418966514318035, -0.10777419993141213, -0.21490254189819102], theta_Rho: [[0.35006535053253174, 3.6057803630828857]], theta_Rho_prime: [[0.4205292761325836, 3.837763786315918]]
D: 0.15925202363649693, R: [[0.9673673376050995, 0.2533780458816858, 0.0], [-0.2533780458816859, 0.9673673376050994, 0.0], [0.0, 0.0, 1.0]], t: [0.40987196492977596, -0.347176414839681, -0.30381198644638063], theta_Rho: [[0.09389468282461166, 3.610480308532715]], theta_Rho_prime: [[0.35006535053253174, 3.6057803630828857]]
D: 0.016088605486994534, R: [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [-0.1832198857674412, -4.440892098500626e-16, 0.37575477957725545], theta_Rho: [[-0.37921273708343506, 3.2460007667541504]], theta_Rho_prime: [[-0.4156096577644348, 3.0900089740753174]]
D: 0.21223296678964243, R: [[0.967557935297259, 0.2526492466707653, 0.0], [-0.2526492466707653, 0.967557935297259, 0.0], [0.0, 0.0, 1.0]], t: [0.3796702517289017, -0.17154462643836665, -0.3937558650970459], theta_Rho: [[-0.486456960439682, 3.242588996887207]], theta_Rho_prime: [[-0.2639090418815613, 3.1442365646362305]]
D: 0.01957824328265606, R: [[0.998196372812373, 0.060033334941699656, 0.0], [-0.06003333494169971, 0.9981963728123728, 0.0], [0.0, 0.0, 1.0]], t: [0.1278368402054284, -0.02331038768639404, -0.051528510972857405], theta_Rho: [[-1.0116885900497437, 3.3593785762786865]], theta_Rho_prime: [[-0.9551008343696594, 3.3737587928771973]]
D: 0.02646426863404494, R: [[0.9999835620802292, -0.005733722118868856, 0.0], [0.005733722118868856, 0.9999835620802292, 0.0], [0.0, 0.0, 1.0]], t: [0.11937843529185921, 0.21147324089395236, 0.19739717151969677], theta_Rho: [[-0.9776625633239746, 3.12896728515625]], theta_Rho_prime: [[-1.0116885900497437, 3.3593785762786865]]
D: 0.012425535940901192, R: [[0.9997217035692654, -0.02359057889425009, 0.0], [0.02359057889424998, 0.9997217035692652, 0.0], [0.0, 0.0, 1.0]], t: [0.037692944847282916, 0.1854781830812111, 0.06148368230089544], theta_Rho: [[-0.8097078800201416, 2.561401844024658]], theta_Rho_prime: [[-0.8755245804786682, 2.6975560188293457]]
D: 0.05278062968901323, R: [[0.9975269887340892, -0.07028447017016154, 0.0], [0.07028447017016154, 0.9975269887340893, 0.0], [0.0, 0.0, 1.0]], t: [0.025860057474109105, 0.3699416307911262, 0.11469644437544047], theta_Rho: [[-0.618482768535614, 2.324204683303833]], theta_Rho_prime: [[-0.8097078800201416, 2.561401844024658]]
D: 0.060562817991709456, R: [[0.9879408091151944, -0.15483203055186956, 0.0], [0.15483203055186956, 0.9879408091151944, 0.0], [0.0, 0.0, 1.0]], t: [-0.015062596585499133, 0.18705647181338173, 0.19257205124013127], theta_Rho: [[0.09562079608440399, 3.2096593379974365]], theta_Rho_prime: [[-0.06660187244415283, 3.2085554599761963]]
D: 0.030771563692000275, R: [[0.9922887431979427, -0.12394777175345756, 0.0], [0.12394777175345756, 0.9922887431979427, 0.0], [0.0, 0.0, 1.0]], t: [0.2717321515430705, 0.4829698555369967, 0.06886614095419619], theta_Rho: [[0.6214476227760315, 3.040137529373169]], theta_Rho_prime: [[0.4053252935409546, 3.3144917488098145]]
D: 0.01250229043427236, R: [[0.9997732930572152, 0.021292310572870426, 0.0], [-0.02129231057287037, 0.9997732930572154, 0.0], [0.0, 0.0, 1.0]], t: [-0.0909110686039603, 0.4250235028782626, 0.06476880624890358], theta_Rho: [[-0.2837688624858856, 2.1537561416625977]], theta_Rho_prime: [[-0.470958411693573, 2.104031801223755]]
D: 0.021109325992125994, R: [[0.9996531143225391, 0.026337255461581194, 0.0], [-0.02633725546158114, 0.9996531143225391, 0.0], [0.0, 0.0, 1.0]], t: [0.00990597726796752, 0.3975126898988415, 0.14809950124472349], theta_Rho: [[-0.12117639183998108, 2.204268217086792]], theta_Rho_prime: [[-0.2837688624858856, 2.1537561416625977]]
D: 0.08921667384251353, R: [[0.9532478768239028, 0.3021894858043893, 0.0], [-0.3021894858043893, 0.9532478768239028, 0.0], [0.0, 0.0, 1.0]], t: [-0.20394205950990357, 0.11765967614642892, -0.16483271677047015], theta_Rho: [[-0.16351395845413208, 2.237098455429077]], theta_Rho_prime: [[0.09029369056224823, 2.267852783203125]]
D: 0.08360201298052437, R: [[0.953829304426813, 0.30034922676221776, 0.0], [-0.30034922676221765, 0.9538293044268131, 0.0], [0.0, 0.0, 1.0]], t: [-0.30540666690453744, 0.05641816157374602, -0.12838433410972355], theta_Rho: [[-0.4726047217845917, 2.2360870838165283]], theta_Rho_prime: [[-0.169311985373497, 2.232428789138794]]
D: 0.010728574957709066, R: [[0.9870407286081454, 0.16046993509284568, 0.0], [-0.16046993509284563, 0.9870407286081453, 0.0], [0.0, 0.0, 1.0]], t: [-0.29360373330674455, 0.06478214571386909, -0.0326038073375821], theta_Rho: [[-0.25709325075149536, 2.544454574584961]], theta_Rho_prime: [[-0.09592650085687637, 2.545423984527588]]
D: 0.01890797328101088, R: [[0.9933374407851747, 0.11524204412609018, 0.0], [-0.11524204412609018, 0.9933374407851747, 0.0], [0.0, 0.0, 1.0]], t: [-0.19301588145686877, 0.21306037559425905, -0.02697500491514848], theta_Rho: [[-1.016648530960083, 1.8755545616149902]], theta_Rho_prime: [[-0.9011498689651489, 1.8678590059280396]]
D: 0.012857853244087288, R: [[0.9983395533242736, 0.05760326612519168, 0.0], [-0.05760326612519168, 0.9983395533242736, 0.0], [0.0, 0.0, 1.0]], t: [-0.0993939189146551, 0.10353207733281833, -0.03598421346396197], theta_Rho: [[-0.995444118976593, 1.898117184638977]], theta_Rho_prime: [[-0.9378089904785156, 1.8866629600524902]]
