D: -0.0006665778471486306, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.3657037688690751, -0.13641950309471218, -0.00867797015234828], theta_Rho: [[-0.22707639634609222, 2.219841241836548]], theta_Rho_prime: [[-0.2986651062965393, 2.568256139755249]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.07829965568179442, 0.265448402053329, 0.0], theta_Rho: [[-0.19104954600334167, 2.122479200363159]], theta_Rho_prime: [[-0.3080711364746094, 1.9822630882263184]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [-0.06849518273467947, -0.36108624165410097, 0.0], theta_Rho: [[-0.27743542194366455, 1.8256065845489502]], theta_Rho_prime: [[-0.1305503398180008, 2.055893898010254]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [-0.05320908239462496, 0.27625432095015046, 0.0], theta_Rho: [[-0.17023536562919617, 2.3161563873291016]], theta_Rho_prime: [[-0.2333783358335495, 2.0723772048950195]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [-0.1149740910165521, -0.45475524530038625, 0.0], theta_Rho: [[-0.3029566705226898, 1.9856077432632446]], theta_Rho_prime: [[-0.12022901326417923, 2.254246234893799]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [-0.108722671747505, -0.21158535822390423, 0.0], theta_Rho: [[-0.422264963388443, 1.9307891130447388]], theta_Rho_prime: [[-0.3029566705226898, 1.9856077432632446]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.23525048785358948, -0.06827299961217226, 0.0], theta_Rho: [[-0.3701504170894623, 1.7067925930023193]], theta_Rho_prime: [[-0.422264963388443, 1.9307891130447388]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.23082793747723496, -0.24438331182603024, 0.0], theta_Rho: [[-0.3980535864830017, 1.378197193145752]], theta_Rho_prime: [[-0.3701504170894623, 1.7067925930023193]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.0029001452704650044, -0.21460114312856204, 0.0], theta_Rho: [[-0.5335766673088074, 1.2558484077453613]], theta_Rho_prime: [[-0.3980535864830017, 1.378197193145752]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.11799409660440863, 0.4660195714487788, 0.0], theta_Rho: [[-0.027880674228072166, 1.7115453481674194]], theta_Rho_prime: [[-0.27246153354644775, 1.413818359375]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.24557856032962877, 0.22695094074396316, 0.0], theta_Rho: [[0.15509723126888275, 1.812949299812317]], theta_Rho_prime: [[-0.027880674228072166, 1.7115453481674194]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.014350645981424659, -0.2263382597321144, 0.0], theta_Rho: [[-0.06420919299125671, 1.4704502820968628]], theta_Rho_prime: [[0.0017748837126418948, 1.670195460319519]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.22326696974169913, -0.025279012935730316, 0.0], theta_Rho: [[0.008139412850141525, 1.3046741485595703]], theta_Rho_prime: [[-0.12269105017185211, 1.441799521446228]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.14529656917348, -0.2412683551071656, 0.0], theta_Rho: [[0.022522365674376488, 1.0307912826538086]], theta_Rho_prime: [[0.008139412850141525, 1.3046741485595703]]
D: 0.0, R: [[1.0, 5.551115123125783e-17, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]], t: [0.09742949959103364, -0.286368698145966, 0.0], theta_Rho: [[0.09642533212900162, 0.9693372249603271]], theta_Rho_prime: [[0.11475297808647156, 1.2625722885131836]]
D: -0.0012921481909394974, R: [[0.989132241742574, -0.14702859703238136, 0.0], [0.14702859703238147, 0.9891322417425739, 0.0], [0.0, 0.0, 1.0]], t: [0.143826927964529, -0.23103914360248723, -0.004305197857320309], theta_Rho: [[0.2340596318244934, 0.9693127274513245]], theta_Rho_prime: [[0.08649608492851257, 0.9681376814842224]]
