Pose: [[0.980066718449428, 0.19376437086397225, 0.04387021736278988, -1.9997351270147092], [-0.19861530783120357, 0.9607327037625009, 0.19376437086397225, -0.023008590926364158], [-0.004602921125290746, -0.19861530783120357, 0.980066718449428, -0.49986756350735456], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.1764749437570572, 4.030915260314941]]; s_p: [[3.9131364822387695, 0.6978299021720886, 0.6698310375213623]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800789348024856, 0.18172971188434028, 0.08012236501040015, -1.9752346722370628], [-0.19362299470144262, 0.9640977376497053, 0.18172971188434028, -0.21569522130654364], [-0.044220102660105357, -0.19362299470144262, 0.9800789348024856, -0.48761733611853136], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.21474722027778625, 4.010833740234375]]; s_p: [[3.8327176570892334, 0.8359556198120117, 0.8356069326400757]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801037943954656, 0.1637271887235275, 0.11220499046076984, -1.9118546886083012], [-0.18075077826458644, 0.9698054257578872, 0.1637271887235275, -0.37432831895019436], [-0.08201041621865698, -0.18075077826458644, 0.9801037943954656, -0.4559273443041506], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.2421625256538391, 3.9560837745666504]]; s_p: [[3.7289726734161377, 0.9210934042930603, 0.9470734596252441]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801262177415755, 0.14100206205415822, 0.13953858173304223, -1.812121936068599], [-0.16061128929319246, 0.9768942789514399, 0.14100206205415822, -0.4738632057648531], [-0.11643286068448216, -0.16061128929319246, 0.9801262177415755, -0.40606096803429953], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.25328928232192993, 3.8628623485565186]]; s_p: [[3.612973928451538, 0.9352133274078369, 0.9967447519302368]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801326031257114, 0.1147037363467571, 0.1618120303256541, -1.6800124447368134], [-0.13412847208660345, 0.9843031066921444, 0.1147037363467571, -0.49858551169615245], [-0.14611513701779844, -0.13412847208660345, 0.9801326031257114, -0.3400062223684067], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.24354347586631775, 3.7291665077209473]]; s_p: [[3.4903457164764404, 0.8672659397125244, 0.9859110713005066]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801190772516455, 0.0858372013280596, 0.17888143915887195, -1.5207930031367345], [-0.10245862482190228, 0.9910268437674989, 0.0858372013280596, -0.4445921282317464], [-0.16990828292637095, -0.10245862482190228, 0.9801190772516455, -0.26039650156836724], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.20993340015411377, 3.558293342590332]]; s_p: [[3.3610005378723145, 0.7161378860473633, 0.9231866598129272]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800938447477938, 0.05524982274996444, 0.1906921932685892, -1.3408111879589537], [-0.06690904344460108, 0.9962282052780005, 0.05524982274996444, -0.32040742341383627], [-0.18692039854658973, -0.06690904344460108, 0.9800938447477938, -0.1704055939794768], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.15168936550617218, 3.360464096069336]]; s_p: [[3.221018075942993, 0.4923764765262604, 0.8217825293540955]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800722113194408, 0.023647207404403674, 0.19722897906087333, -1.1472423062091468], [-0.02886996447038012, 0.9993034247581922, 0.023647207404403674, -0.14563743155916192], [-0.19653240381906562, -0.02886996447038012, 0.9800722113194408, -0.07362115310457334], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[-0.0709325298666954, 3.151470184326172]]; s_p: [[3.0658512115478516, 0.21783404052257538, 0.6963253617286682]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800672994988151, -0.008367538672814675, 0.19848947767994854, -0.9478033383607483], [0.010231619925312388, 0.9999126453097105, -0.008367538672814675, 0.05212550846201602], [-0.198402122989659, 0.010231619925312388, 0.9800672994988151, 0.026098330819625846], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.02662193588912487, 2.9483797550201416]]; s_p: [[2.893690347671509, -0.07705384492874146, 0.559965968132019]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800820887242456, -0.04023799702818499, 0.19447365620330123, -0.7504452866958158], [0.04895748038181685, 0.9979900143337226, -0.04023799702818499, 0.2416589768330234], [-0.19246367053702382, 0.04895748038181685, 0.9800820887242456, 0.1247773566520921], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.1314295381307602, 2.763859272003174]]; s_p: [[2.707846164703369, -0.3579544425010681, 0.4223209619522095]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801076080655154, -0.07139103136207277, 0.18518206514982338, -0.5630361939348827], [0.0858730398447564, 0.9937450083743216, -0.07139103136207277, 0.39303980636107766], [-0.17892707352414494, 0.0858730398447564, 0.9801076080655154, 0.21848190303255868], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.23108814656734467, 2.6021854877471924]]; s_p: [[2.517392158508301, -0.5923208594322205, 0.28855207562446594]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801283778378953, -0.10117610822313129, 0.1706216811594505, -0.39304746920273514], [0.11956615283519835, 0.9876574964131093, -0.10117610822313129, 0.48236829262625486], [-0.1582791775725599, 0.11956615283519835, 0.9801283778378952, 0.3034762653986324], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.3125532865524292, 2.459970235824585]]; s_p: [[2.335852861404419, -0.754819393157959, 0.15966422855854034]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801317993603789, -0.12881714826025875, 0.15082373220644216, -0.24725602652400214], [0.14868265647703482, 0.980458877249335, -0.12881714826025875, 0.49554143180255666], [-0.13128260945577716, 0.14868265647703482, 0.9801317993603789, 0.37637198673799893], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.36456388235092163, 2.3318183422088623]]; s_p: [[2.178339719772339, -0.8313031196594238, 0.03387962281703949]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9801157971790133, -0.15338474479433467, 0.12588146878919174, -0.13147411064678238], [0.17198446898381003, 0.9730850232599071, -0.15338474479433467, 0.43047947486510535], [-0.09896649204909873, 0.17198446898381003, 0.9801157971790133, 0.4342629446766088], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.37937572598457336, 2.2174487113952637]]; s_p: [[2.0580332279205322, -0.8205152153968811, -0.09128589928150177]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800900780183229, -0.17379477162199106, 0.09601466724879987, -0.05031758118613616], [0.18842621125253836, 0.9665872646946441, -0.17379477162199106, 0.2974542742316388], [-0.06260193194344385, 0.18842621125253836, 0.9800900780183229, 0.4748412094069319], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.3541795313358307, 2.1255011558532715]]; s_p: [[1.9831737279891968, -0.7333225011825562, -0.21683059632778168]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800702427794553, -0.18883918443676354, 0.06166102204373208, -0.00702189286742072], [0.19723753322100487, 0.961996423023574, -0.18883918443676354, 0.11746758412329984], [-0.02365744506730602, 0.19723753322100487, 0.9800702427794553, 0.49648905356628964], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.2929827868938446, 2.0708541870117188]]; s_p: [[1.955599069595337, -0.5899340510368347, -0.3406566381454468]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800683232359101, -0.19725591545630417, 0.023583587662760634, -0.003313108156457689], [0.1979936755127516, 0.9601503050431461, -0.19725591545630417, -0.08106465464018853], [0.016266107294093217, 0.1979936755127516, 0.9800683232359101, 0.49834344592177116], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.20797394216060638, 2.06595778465271]]; s_p: [[1.9713279008865356, -0.4159999489784241, -0.4571557939052582]]; w_p: [[2.0, 0.0, 0.0]]
Pose: [[0.9800854837546018, -0.19784451275552842, -0.017029189823234047, -0.03933908459592639], [0.19065778734029978, 0.9615129520183432, -0.19784451275552842, -0.2667985668860865], [0.05551623780489093, 0.19065778734029978, 0.9800854837546018, 0.4803304577020368], [0.0, 0.0, 0.0, 1.0]]; theta_Rho: [[0.11736667901277542, 2.1120612621307373]]; s_p: [[2.022927761077881, -0.2385205179452896, -0.5582778453826904]]; w_p: [[2.0, 0.0, 0.0]]
